match_id,duration,first_blood_time,radiant_win,region
8127690162,1996,81,False,
8127691029,1896,151,False,6.0
8127718999,1933,273,True,3.0
8127724795,2330,0,False,3.0
8127745833,1470,0,False,3.0
8127773114,2007,1,False,
8127775146,2165,109,False,6.0
8127775841,2998,112,True,3.0
8127804847,2728,0,True,3.0
8127824718,2668,330,False,3.0
8127837088,2301,77,True,38.0
8127851064,2031,0,False,2.0
8127870269,1766,295,False,38.0
8127906226,1485,48,False,3.0
8127930338,2114,47,True,2.0
8127930959,2633,111,True,38.0
8127933636,2609,0,False,3.0
8127947620,2607,114,False,38.0
8127960012,1554,81,True,3.0
8128001460,2182,89,True,3.0
8128009057,2939,0,False,2.0
8128015542,1367,101,False,38.0
8128019441,2045,363,True,3.0
8128022762,1692,71,True,3.0
8128057282,1727,533,False,3.0
8128064565,1388,186,False,38.0
8128069781,2650,227,False,38.0
8128074914,1864,18,False,3.0
8128094200,1596,189,False,3.0
8128123106,1778,296,False,3.0
8128137292,2395,181,True,38.0
8128151133,1410,115,False,3.0
8128174972,1977,292,True,3.0
8128184178,1620,0,True,38.0
8128202195,1715,354,False,3.0
8128221245,2386,353,True,38.0
8128225837,1729,79,False,3.0
8128250149,1376,137,True,3.0
8128258706,2056,111,False,38.0
8128265025,2656,76,False,5.0
8128309586,3417,0,False,5.0
8128370431,4513,0,True,17.0
8128372809,2568,0,True,5.0
8128375025,2063,240,True,3.0
8128383308,1942,85,False,3.0
8128405509,1957,349,True,3.0
8128412089,3669,170,False,5.0
8128413564,2317,204,False,3.0
8128415726,1659,73,False,13.0
8128432675,1613,203,False,3.0
8128434253,2556,140,True,17.0
8128444250,1108,115,True,3.0
8128455999,2938,103,False,13.0
8128460161,2220,165,False,3.0
8128468449,1292,303,True,3.0
8128472175,3594,167,True,5.0
8128473994,3017,407,True,17.0
8128475107,1764,184,False,8.0
8128488625,2995,116,False,5.0
8128489679,1258,270,True,5.0
8128490183,2894,0,True,5.0
8128490865,2100,157,False,5.0
8128492365,2533,106,False,5.0
8128493625,1889,198,False,3.0
8128493956,1978,254,True,3.0
8128502183,1944,162,False,5.0
8128502287,2112,133,True,5.0
8128509134,3113,0,True,13.0
8128511333,1816,80,False,8.0
8128527299,1630,231,True,3.0
8128528623,1737,100,True,3.0
8128531796,2068,23,False,3.0
8128537544,2035,0,True,5.0
8128537590,1924,72,True,5.0
8128541328,2754,339,False,5.0
8128542607,1843,0,False,5.0
8128549506,2389,0,True,8.0
